gene_id,sample4,sample5,sample13,sample14,sample17,sample18
g29408,1.034,0,0,1.024,1.035,0
g29409,5,12,0,0,1,0
g2941,397.367,304,330,709.418,1396.103,325.041
g29410,0,0,0,0,0,0
g29411,4.872,1.003,4,5.009,12.511,2
g29412,0,0,0,1,0,0
g29413,0,4,5,1,6,2
g29414,2,0,2,0,7,2
g29415,1,0,1,2,4,0
g29416,4,0,0,3,9,3
g29417,2,1,2,5,1.055,2
g29418,0,1.021,2,2,12.007,0
g29419,2,1,1,2,6,0
g2942,432.759,370.524,400.076,660.069,1003.428,236.684
g29420,2.093,2,1,3,4,1.001
g29421,5.275,1,0,1,2,0
g29422,8,2,0,0,0,0
g29423,1,0,0,0,0,0
g29424,3,1,1,3,5,2
g29425,0,2,2,0,8,2
g29426,2,1,8,1,5,0
g29427,2,2,0,2,5,0
g29428,0,0,0,31.151,0,0
g29429,4,1,2,0,4,2
g2943,356.253,275.947,173.568,288.951,1326.403,237.365
g29430,0,0,1.568,0,1,0
g29431,2,2,2,1,3,5.789
g29432,2,0,3,3,1,1
g29433,2,0,4,1,3.114,1
g29434,1,0.999,0,0,0,0
g29435,0,0,0,0,5,0
g29436,5,0,2,0,3.835,2
g29437,4,0,0,3,2.225,2
g29438,3,3,0,1,2,0
g29439,5.613,1.807,2.616,2.569,16.864,0
g2944,4724,4195,3508,6143.772,12694.18,3899.457
g29440,0,1.038,1,3.046,9.297,3.175
g29441,32.167,16.802,14.771,33.29,100.633,29.678
g29442,15.807,7.267,6.429,15.685,27.055,5.438
g29443,3.802,2.006,1.003,3.017,6.596,0
g29444,187.645,122.08,142.118,168.299,560.559,100.921
g29445,0,3.776,1.121,7.021,6.601,5.713
g29446,79.558,43.349,44.721,44.702,83.259,21.998
g29447,0,6.504,3.565,0,7.023,3.21
g29448,1.133,4.797,1.033,2.723,3.301,0
g29449,11.009,12.697,7.571,20.289,34.949,10.481
g2945,4693.367,3420.335,3698.923,5700.766,15279.843,3022.001
g29450,6.885,3,0,3.228,13.312,1.041
g29451,0,1,2.036,0,3,1
g29452,2.217,0,1.004,1.097,3.324,0
g29453,1.044,2.015,2.012,7.499,6.462,0.973
g29454,9.543,8.252,6.986,2.328,31.01,4.231
g29455,7,8,5,7,17,7
g29456,5,2.138,5,7.991,21.071,9.217
g29457,4,0,2,10.007,14.012,4
g29458,2.382,1.011,0,2,4.296,0
g29459,1,1,3,4.98,7,1
g2946,1663.759,1104,1243.049,1796.61,4442.025,961.125
g29460,1,1,1,3,5,3
g29461,2,5,2,0,3,4
g29462,0,2,3,2.001,1,0
g29463,1.267,0,0,0,0,0
g29464,4,2.956,1,3,2,2
g29465,0,4,1,0,7,0
g29466,4.213,4.491,0,0,0,0
g29467,0,0,1,4.018,3,1
g29468,1,0,0,1,7.004,2
g29469,4,0,4,0,7,1
g2947,623.852,480.877,390.134,471.587,1817.612,315.337
g29470,2,1,1,6,6,0
g29471,2,4,2,3,1,0
g29472,0,1,1,1.081,3.363,0
g29473,1,0,2,1,6,1
g29474,2,1,1,2,6,1
g29475,2,4,2,2,5,1
g29476,0,1,0,0,3,1
g29477,1,0,0,2,4,0
g29478,3,2,1,2,1,2
g29479,2,0,2,5,6,1
g2948,143.898,166.001,246.001,343.108,367.004,111
g29480,3,3,0,0,0,0
g29481,1,0,0,0,0,0
g29482,0,0,0,0,0,0
g29483,3,0,0,0,0,0
g29484,0,0,0,5,5,1
g29485,0,0,0,0,0,0
g29486,0,0,0,0,0,0
g29487,0,1,0,0,0,0
g29488,108.943,52.321,45.762,120.909,337.123,82.608
g29489,1086.914,2395.814,93.892,461.335,2913.578,1250.89
g2949,3909.083,2326.587,2113.824,3440.888,12623.901,2437.794
g29490,16.466,9.098,28.63,64.544,66.366,12.509
g29491,40.063,23.375,36.309,37.882,102.507,6.663
g29492,20.606,19.812,11.809,45.546,68.778,11.717
g29493,8.429,6.199,4.15,9.439,33.14,3.082
g29494,5.935,0,0.83,6.26,17.644,6.169
g29495,229.851,98.725,0,0,0,0
g29496,0,0,126.748,262.462,0,0
g29497,1.823,0,1.851,1.411,9.665,3.236
g29498,0,0,0,1.994,0,0
g29499,5.934,2.456,1.347,3.755,2.682,0
g295,409.998,432,288.731,756.069,1340.313,517.999
g2950,96.269,47.404,38,86,195.879,49
g29500,42.906,33.843,47.069,67.538,160.643,30.502
g29501,0,0,1.011,2.009,6.048,1.008
g29502,0,2,1,15.746,4,1
g29503,7.88,1.284,1.142,1.134,2.292,1.002
g29504,8.18,5.053,6.564,0,53.286,7.7
g29505,3.013,1,3,2,2.486,5
g29506,3,0,3,5.006,8.739,0
g29507,4,2,5,4,7,5
g29509,0,0,0,0,0,0
g2951,702.309,378.387,306.9,516.763,1240.63,337.334
g29510,0,0,2.728,4.326,0,0
g29511,0,0,0,2,0,0
g29512,1,1,1,0,6,6
g29513,3,2,1,3,12.033,4
g29514,0,0,0,0,7,0
g29515,0,1,1,4,6,2
g29516,1.016,0,1,2,6,0
g29517,0,0,0,0,0,0
g29518,2,1,0,0,8.15,0
g29519,3,2,0,0,0,0
g2952,239.237,180.296,147.467,310.081,698.493,138.002
g29520,0,0,1,2,5.029,0
g29521,3,1,2,1,11,0
g29522,0,0,1.677,0,9,5
g29523,0,0,0,0,0,0
g29524,0,1,1,0,4,0
g29525,1,0,1,1,5,0
g29526,2,1,2,2,10,0
g29527,0,0,1,3,6,0
g29528,0,0,2.156,1,2,1
g29529,1,1,4,1,4,0
g2953,1020,812,822.418,1469,3026.98,697
g29530,0,2,0,2,0,1
g29531,4,0,0,0,0,0
g29532,0,0,0,0,0,0
g29533,1,0,2,0,2,1
g29534,51.376,39.788,25.919,45.868,146.724,35.18
g29535,197.068,133.768,151.897,209.789,558.091,132.228
g29536,0,2.426,0,1.016,3.352,4
g29538,0,0,2.114,1.211,5.452,0
g29539,173.658,178.456,131.365,223.949,589.402,170.152
g2954,716,524,479,926.999,2075.005,520.001
g29540,0,4.467,0,2.153,5.135,4.473
g29541,0,1.007,0,1.013,2.251,1.011
g29542,0,0,0,0,0,0
g29543,0,0,0,5.951,0,1.478
g29544,9.03,3.007,0,4.227,14.152,0
g29545,141.708,119.369,154.836,168.877,1.024,1
g29546,34.872,23.663,33.657,52.549,106.349,20.845
g29547,24.689,18.667,18.045,37.69,0,0
g29548,18.218,7.582,11.281,16.231,47.601,7.75
g29549,5.579,1.32,11.895,10.433,11.291,1.292
g2955,1046.485,869.214,843.093,1608.047,3349.473,724.453
g29550,2.869,14.256,9.567,13.889,0,4.865
g29551,1.086,0,1.137,2.36,4.376,0
g29552,4.579,0,6.506,11.037,17.197,1.196
g29553,0,1.396,7.474,4.989,11.282,0
g29554,6.03,0,0,0,0,0
g29555,2,2.27,2,1.689,3.644,0
g29556,1,1,1,2.085,0,2
g29557,5,3,0,0,0,0
g29558,1,1,1,2,4.005,1
g29559,3.85,1.393,0,0,0,0
g2956,10068.028,7189.912,7591.611,14356.554,24279.428,6825.857
g29560,1,2,0,1,4,0
