gene_id,sample6,sample7,sample15,sample16,sample19,sample20
g45411,0,1.156,1.071,0,2.226,10.12
g45412,1.023,1.027,0.75,0,1.031,2.058
g45413,0,0,0,0,0,76.877
g45414,62.72,147.849,34.781,44.89,36.791,91.765
g45415,7.236,6.995,3.758,8.929,3.113,6.218
g45416,1.236,7.748,0,3.416,0,0
g45417,27.488,21.728,28.589,23.776,11.761,19.188
g45418,60.423,34.905,22.872,38.425,31.09,53.584
g45419,8.248,1.018,1.084,2.642,3.007,2.161
g4542,188,170,250,193.937,132.806,298.406
g45420,0,0,1.029,2,1,2
g45421,0,2.498,7.148,3.14,0,1.596
g45422,3.961,4.274,2.139,3.38,0,2.21
g45424,5.654,0,0,0,0,0
g45425,4.942,0,0,1,0,0
g45426,1.826,4,5.429,3.01,0,2.999
g45427,1.068,4.001,0,1.009,0,1.01
g45428,2,3,2,1,1,5
g4543,493.049,736.139,603.308,508,369.764,605.186
g45430,1.045,5.421,3.947,0,1,4.781
g45431,2.733,1.134,3.052,1.049,0,3.191
g45432,0,2,5,7,1,0
g45433,0,0,0,0,0,1
g45434,2.001,0,1.006,1.107,1,1
g45435,2,1,3,0,0,1
g45436,1,0,0,1,0,4
g45437,0,4,0,2,2,0
g45438,0,0,0.901,0,0,1
g45439,0,2,1.995,2,1,0
g4544,49.126,90.979,74.536,75.993,42.28,79.335
g45440,1,1,5.039,1,1,1.043
g45441,0,3,1,0,1,0
g45442,0,1,0,0,0,0
g45443,0,0,0,1,0,4.918
g45444,1,0,1,0,0,2.05
g45445,0.979,0,1,3,1,0
g45446,0,0,0,1.754,0,0
g45447,0,0,0,0,0,0
g45448,2,3,1,0,0,0
g45449,0,0,0,0,0,0
g4545,6,17,11,10,9,9
g45450,2,1,1,0,1,0
g45451,2,0,1.269,0,3,0
g45452,0,3,2,1,1,2
g45453,1.001,0,1,2,0,0
g45454,0,3,0,3,0,0
g45455,1,1,2,3,0,3.555
g45456,0,3,0,0,1,0
g45457,1,3,0,1,1,0
g45458,0,1,0,0,0,0
g45459,3,1,0,1,0,0
g4546,372.843,414.507,412.979,261.208,311.41,348.754
g45460,3,1,0,0,0,2
g45461,0,0,0,5,1,1
g45462,0,1.447,0,1,1,0
g45463,0,1,2,1,1,0
g45464,0,0,0,0,0,0
g45465,0,2,0,0,1,0
g45466,2,1,0,1,0,1
g45467,0,2,1,0,0,1
g45468,0,4,0,0,0,1
g45469,0.878,0,0,2,0,0
g4547,648.362,657.059,1007.488,860.864,564.375,694.822
g45470,2,1,0,0,0,0
g45471,0,1,2,2,0,3
g45472,1,0,0,0,0,1
g45473,0.999,3.935,1,1,0,0
g45474,1,3,0,1,0,2
g45475,0.938,1,0,0,1,0
g45476,2.807,0,1,0,0,0
g45477,0,0,1,3,0,4
g45478,0,0,3,5,0,2
g45479,2.026,0,0,0,0,0
g4548,2667.72,2692.32,2947.516,2275.547,1878,2837.218
g45480,1,0,0,0,0,0
g45481,1,1,0,0,1,1
g45482,0,1,2.074,1,0,0
g45483,1,2,0,1,2,2
g45484,0,0,1,0,1,0
g45485,1,1,1,0,1,1
g45486,0,0,0,0,0,0
g45487,2,1,1,0,1,0
g45488,0.99,0,0,0.994,0,0
g45489,0,0,0,0,0,0
g4549,429.958,705.089,497.226,397.19,317.08,609.882
g45490,0,1,2,0,1,2
g45491,0,0,1,0,1,1
g45492,3,0,1,1,0,0
g45493,0,1,0,0,1,0
g45494,1,2,0,2,0,2
g45495,0,1,0,2,0,0
g45496,1,0,2,0,0,0
g45497,0,0,0,0,0,0
g45498,1,0,0,1,1,1
g45499,1,0,2,0,0,1
g455,248.719,316.031,254.567,169,173.447,261.075
g4550,170.109,317.485,177.673,168.245,127.495,192.365
g45500,0,1,1,0,0,1
g45501,0,0,2,0,0,1
g45502,0,1,0,0,0,1
g45503,0,0,0,0,0,0
g45504,0,0,0,0,0,0
g45505,0,1,0,0,1,1
g45506,0,0,0,3,0,0
g45507,1,1,1,1,0,1
g45508,0,0,0,1,0,0
g45509,0,1.999,0,0,0,1
g4551,3,1,0,0,0,0
g45510,0,0,1,1,0,0
g45511,0,0,1.85,2,0,0
g45512,1,0,0,0,0,0
g45513,1,1,0,0,0,0
g45514,0,0,2,0,0,0
g45515,29.958,26.122,24.513,6.426,28.667,40.576
g45516,45.849,45.409,29.987,33.438,16.498,46.381
g45517,0,31.141,21.341,9.416,14.583,21.226
g45518,23.545,33.988,32.971,18.835,21.204,39.955
g45519,0,0,1.463,0,0,0
g4552,931.343,1317.448,1159.259,898.375,844.23,1129.127
g45520,4.568,0,11.498,8.527,2.548,12.71
g45522,6,2,8.075,1.001,1,1.428
g45523,21.248,12.533,12.667,17.521,15.344,10.544
g45524,8.874,28.963,21.793,12.415,13.034,12.416
g45525,16.908,17.59,20.946,8.652,15.647,25.222
g45526,0,0,0,0,0,0
g45527,8.323,12.161,8.175,5.993,6.584,12.039
g45528,3.981,9.86,3.163,4.782,0,5.186
g45529,5.008,4.594,7.42,1.128,2.495,5.028
g4553,73,90,86,74,77,136
g45530,6.15,3.003,5.265,0,0,1
g45531,2.47,2,0,0,1,1
g45532,0,0.992,1,2,2,0
g45533,1.997,1,3,2.628,0,0
g45534,1.018,0,0,1,1,1
g45535,0,5,0.995,0,0.655,0
g45536,0,2,1.009,0,0,0
g45537,3,1,4,0,1,0
g45538,2,1,1,0,1,2
g45539,2.074,0,1,2,0,0
g4554,1492.969,1946.231,1404.665,1154.98,945.488,1390.092
g45540,0,1,1,1,3,2
g45541,1,0,1,0,1.989,1
g45542,0,2,1.005,0,0,0
g45543,2,0.994,1,1,0,0
g45544,0,0,0,0,1.757,0
g45545,2,2,3,1,0,1
g45546,2,1,2,1,0,0
g45547,0,0,1.72,0,1,0
g45548,0,2.738,0,0,0,0
g45549,1,0,0,0,0,0
