"","sample4","sample5","sample6","sample7","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g6509",836.528793353567,1471.09707942246,689.375829994691,1077.39581306188,844.327622320223,1138.46994637011,792.413799495321,2113.61165357295,755.306856016692,1415.79715249939,827.572375012103,1348.29152661906
"g2226",1.87562509720531,61.3489659533258,36.5578091663851,42.8162164152733,2.53933119494804,101.675607987422,2.99400679910071,1719.57036118924,5.37824196540591,513.819873885381,4.31776891310663,391.922019202139
"g658",253.209388122717,810.317591966845,271.572296664575,468.356979562989,300.910746601343,475.723100145528,338.32276829838,1334.5726394504,326.392059275571,1094.65973132103,398.673996310178,726.003129717958
"g4947",382.627519829883,1679.42794297229,185.922572331901,969.918371856191,577.697846850679,1145.89152359547,95.8082175712227,3140.7028910977,458.158987428016,2120.90322943449,189.981832176692,1495.88556947381
"g8777",144.423132484809,734.909487982549,131.608112998986,159.905461306021,126.966559747402,351.040602759493,155.688353553237,3134.24319777993,158.994278102312,3218.35546007012,97.8694286970835,1763.15045788647
"g24224",69442.2057863807,48817.1615539017,84293.9518670175,30764.7621948764,70937.4865964709,42244.3597244674,97946.936428047,43184.3417679274,83222.2438924453,33494.6330289033,90910.62446546,63212.1351377781
"g352",291.659702615425,586.649486928678,294.551490997731,578.455821773692,429.146971946219,509.120197659645,344.310781896581,532.278729383896,314.627154976246,573.858609149162,444.730198049983,681.126562633743
"g10896",6.56468784021858,10.2248276588876,5.22254416662644,27.0878103851729,7.61799358484412,31.9127820690448,1.99600453273381,25.8387732710629,2.35298085986508,15.3587462302695,2.87851260873775,31.912225482108
"g5511",73.149378791007,3678.38175028483,29.2462473331081,1095.74562009699,445.652624713381,798.561709448655,36.9260838555754,4520.49338377245,274.626480358539,2365.24691946151,86.3553782621325,1798.05445450752
"g10980",301.975640650055,221.111898123445,514.942854829367,164.274462981049,393.596335216946,271.629726448149,478.043085589747,164.076210271249,296.139448220163,180.116205791343,379.963664353383,167.539183781067
"g789",154.739070519438,223.668105038167,145.186727832215,291.849311891863,156.168868489304,362.172968597531,160.678364885071,374.662212430412,185.885487929342,279.249931459446,136.729348915043,212.415750865282
"g2745",275.71688928918,472.898279223553,239.192522831491,339.90833031717,248.854457104908,1047.18454649819,211.576480469783,741.572792879505,245.046149548807,629.708595441051,178.467781741741,382.946705785296
"g508",1191.02193672537,1731.83018472409,1050.77588632524,1440.8967524242,1066.51910187818,1629.77835868889,1162.67264031744,2182.08440274126,1199.34795828552,1996.63700993504,1047.77858958054,1422.08854804644
"g15134",2405.48918716581,1889.03690997949,3265.13461297485,1520.4125829097,2762.79234010347,1737.3912284566,2971.05274697427,1502.52466571231,3310.98020995301,1729.95332539127,3657.15026940131,2457.24136212232
"g13103",2.81343764580796,28.118276061941,5.22254416662644,13.9808053600892,6.3483279873701,27.4598357338292,0.998002266366903,58.1372398598915,10.7564839308118,43.2837393762142,2.87851260873775,35.9012536673715
"g3978",328.234392010929,575.14655581243,322.753229497514,384.472147402454,266.629775469544,504.667251324429,386.226877083991,555.533625327852,291.097346377595,598.991102980512,215.888445655331,542.507833195836
"g15365",0.937812548602654,7.66862074416573,3.13352649997587,2.62140100501673,1.26966559747402,474.980942422992,0.998002266366903,1098.14786402017,7.39508270243312,8.37749794378339,4.31776891310663,365.993335997926
"g768",1774.34134195622,2946.028469217,1582.43088248781,2786.54926833279,1708.96989420003,2010.50527034982,1457.08330889568,2811.25853189164,1949.2765723368,3316.09293608092,1544.3220145878,2254.7981817202
"g6329",4638.42086538873,7358.04160402702,3864.68268330357,5750.4800046717,4475.57123109592,5029.60288562596,4452.08811026275,6432.56260583111,4002.75658275335,7754.77059662882,4087.48790440761,6003.48741882157
"g11915",13.1293756804372,54.9584486665211,22.9791943331564,36.6996140702342,20.3146495595843,58.6304600803381,13.9720317291366,49.0936692150195,17.4792863875692,37.6987407470252,25.9066134786398,37.8957677600033
"g22293",8.44031293742389,184.046897859977,2.08901766665058,62.039823785396,33.0113055343245,47.4980942422992,2.99400679910071,183.455290224547,25.5466493356781,149.398713330804,2.87851260873775,79.7805637052701
"g6983",3327.35892244222,6373.90194185908,3787.3890296375,11143.5756723261,4460.33524392623,9692.57985631918,4368.25591988793,4612.22102888473,2895.84715824824,9871.48507709143,1639.31293067615,12050.854147681
"g1",1252.91756493315,2580.49088041177,1438.28866348892,1566.724000665,1385.20516684416,2501.07152494607,1179.63867884568,3839.64170807995,1273.63492543269,3267.22419807552,1233.44265284413,1876.83776116648
