"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"g9809",3587.93456186949,-1.67290880583315,0.26948477016443,-6.20780463702049,5.37298855509644e-10,1.3490873437253e-07,TRUE
"g11032",122.993301515285,-0.786051936358455,0.127019984878813,-6.1884115094834,6.07735077749759e-10,1.50414431743065e-07,TRUE
"g31646",56.3908061462753,1.13007376892266,0.183306182571744,6.16495173849555,7.05046405130902e-10,1.72041253082998e-07,TRUE
"g295",499.040143949083,-0.636482395174635,0.103484773077273,-6.15049321989979,7.72423607920989e-10,1.85864430655988e-07,TRUE
"g16911",83.3069349054664,-2.4776933693651,0.40355658609147,-6.13964300115153,8.27071410463968e-10,1.96287838168332e-07,TRUE
"g5483",526.710322078342,-2.0417044218505,0.334755036700923,-6.09909993281026,1.06667371543619e-09,2.4973137999908e-07,TRUE
"g9196",23458.133102988,1.48303991888872,0.243372393154003,6.09370643756735,1.10325899875908e-09,2.54852828713346e-07,TRUE
"g8464",2593.98788172273,-5.83885271435247,0.972800513547088,-6.00210694077707,1.94773341071545e-09,4.32621555649298e-07,TRUE
"g5495",798.640954386461,0.64070152780174,0.106797848388945,5.9991988365569,1.98293427631761e-09,4.34865016926615e-07,TRUE
"g6498",72.1713076025302,-0.946071416247444,0.158276300662476,-5.9773409682157,2.2680916072917e-09,4.91183588704109e-07,TRUE
"g13941",297.219539251906,-6.46147033243404,1.08144403097446,-5.97485412778301,2.30296155914718e-09,4.92577889039813e-07,TRUE
"g1818",520.104996816751,-0.626785776454316,0.105281173623977,-5.95344594744877,2.62554596713172e-09,5.51340171381406e-07,TRUE
"g4484",897.370427981347,-0.580861075874459,0.0975832876915166,-5.95246470595145,2.64134108078826e-09,5.51340171381406e-07,TRUE
"g9011",247.574110108642,1.27175487887466,0.214173671690959,5.93796085594375,2.88588920845661e-09,5.95214649244177e-07,TRUE
"g9305",4473.83612525289,-4.45068013026593,0.750475860289813,-5.93047740209419,3.02055154239733e-09,6.15659476141574e-07,TRUE
"g14156",154.223302305264,-2.07924105626023,0.351128995049464,-5.92158746664406,3.18848644367283e-09,6.42331716705022e-07,TRUE
"g10119",149.722851808774,-3.54259509029705,0.59944059630485,-5.90983512317113,3.42450318010883e-09,6.8194847810788e-07,TRUE
"g8960",340.816395524409,-1.91564096764645,0.324639474662361,-5.90082573796302,3.61686770298536e-09,7.12070829025243e-07,TRUE
"g4234",199.036760012368,-1.19482882780219,0.202821890984595,-5.8910249874997,3.83807508106511e-09,7.47130907634303e-07,TRUE
"g35662",203.715660234716,0.750691530184157,0.128670206895285,5.83422960371151,5.40396648101574e-09,1.04026354759553e-06,TRUE
"g68084",41.7173358949716,3.69058942263184,0.635731007218967,5.80526886485605,6.42627986494461e-09,1.22346482044138e-06,TRUE
"g3884",65.6711139850464,-1.63348595659972,0.281849951067821,-5.79558715696444,6.80825585218568e-09,1.28209818085997e-06,TRUE
"g7404",84.5955620999737,-1.38354181629152,0.239855780946015,-5.76822376694316,8.01113904402754e-09,1.49239767675029e-06,TRUE
"g6509",1109.18237064487,-0.851163003104024,0.148135501024898,-5.74584078235887,9.14653430425474e-09,1.669219914127e-06,TRUE
"g2226",240.401318980744,-5.72202145347615,0.995875261966735,-5.74572104760975,9.15300963013361e-09,1.669219914127e-06,TRUE
"g658",566.559535619793,-1.37700199510673,0.242259866825313,-5.6839872536529,1.31590089133574e-08,2.37478988983247e-06,TRUE
"g4947",1036.91054205153,-2.48000523787829,0.437646720973344,-5.66668300944347,1.45588320930047e-08,2.54779561627583e-06,TRUE
"g8777",848.096211114034,-3.51984501853494,0.621848237164248,-5.66029588599646,1.51112224392332e-08,2.61801928759716e-06,TRUE
"g24224",63205.903536973,0.924516969325539,0.163502452560808,5.65445321978704,1.56343170799152e-08,2.65553473930912e-06,TRUE
"g352",465.042975667583,-0.714923198651956,0.126922507592582,-5.63275349827501,1.77354871942786e-08,2.96160698314948e-06,TRUE
"g10896",14.0806573907976,-2.5133995570789,0.446244375946556,-5.63233889894427,1.77781891051974e-08,2.96160698314948e-06,TRUE
"g5511",1266.87000257381,-3.91315992410202,0.696493565272948,-5.61837196955078,1.92765154906748e-08,3.18062505596135e-06,TRUE
"g10980",294.450726354664,1.01106572507741,0.180396790081305,5.60467691593475,2.0864378177472e-08,3.41014482947832e-06,TRUE
"g789",223.617179071093,-0.886163877689176,0.158233085772178,-5.60037032308819,2.1389436623782e-08,3.46328962156097e-06,TRUE
"g2745",417.756127594223,-1.36845087689835,0.24491141780866,-5.58753401185842,2.30316660237245e-08,3.69466309130581e-06,TRUE
"g508",1426.78594747268,-0.628475685392062,0.112517928112147,-5.58556041634236,2.32947784754067e-08,3.7025874962057e-06,TRUE
"g15134",2434.09662009537,0.761470557367605,0.136394821146864,5.58284068973326,2.36621476407294e-08,3.72678825341488e-06,TRUE
"g13103",19.6582048887548,-2.70377449705727,0.486523575744805,-5.55733500256003,2.73924715519077e-08,4.27544657330451e-06,TRUE
"g3978",414.345715178202,-0.798430227116746,0.144872967581474,-5.51124368090081,3.56307021446991e-08,5.48650777752772e-06,TRUE
"g15365",164.653460055168,-6.72785360355733,1.22098339759923,-5.5101925356119,3.58441407275378e-08,5.48650777752772e-06,TRUE
"g768",2178.47138933806,-0.685236598349762,0.124386464835934,-5.50893217564781,3.61016961984508e-08,5.48650777752772e-06,TRUE
"g6329",5320.82937440151,-0.586387394434816,0.106531502039593,-5.50435676967067,3.70518547057736e-08,5.58194245893503e-06,TRUE
"g11915",32.3964876423054,-1.30915474281829,0.238738769345845,-5.48362859708726,4.16689120718945e-08,6.22339570384114e-06,TRUE
"g22293",65.098265669184,-3.20920884205,0.586236069433653,-5.47426030123041,4.39342872567706e-08,6.50565407456026e-06,TRUE
"g6983",6185.25974408166,-1.39204768606135,0.255887630732938,-5.4400741531512,5.32583987798516e-08,7.758942845061e-06,TRUE
"g1",1949.59314381112,-1.00929580785892,0.185533820200698,-5.43995594316514,5.32937488347624e-08,7.758942845061e-06,TRUE
"g37213",21.4199813851879,-3.14838873048393,0.582241538590721,-5.40735849610525,6.39610392672109e-08,9.23437504420358e-06,TRUE
"g7366",13.28675948702,-2.13087189549126,0.396464502277977,-5.37468520699295,7.67165921471474e-08,1.09844211483416e-05,TRUE
"g5151",74095.7628208856,-4.41275136752706,0.822195584080409,-5.36703365107773,8.00421274164728e-08,1.13666381761508e-05,TRUE
"g1078",200.868107718736,-1.15563055440576,0.216554812596595,-5.33643441375972,9.47921378639842e-08,1.31381903079482e-05,TRUE
"g13731",8437.98492964863,-5.15427579801052,0.968950629763312,-5.31944109399007,1.04086506198625e-07,1.41992025188282e-05,TRUE
"g7372",1103.05619707178,-0.650175425964138,0.122365278007065,-5.31339802069176,1.0759966277408e-07,1.45637824809448e-05,TRUE
"g9272",59.5754749898867,-1.40733198728528,0.265003822454133,-5.31061014234562,1.09258828988305e-07,1.46737148234293e-05,TRUE
"g7727",391.472581204129,0.776616577856011,0.146618293895709,5.29686001126452,1.17810942008413e-07,1.54970646881884e-05,TRUE
"g2748",84.4715631700408,-1.34986659196152,0.254862312916976,-5.29645429530906,1.18072873814768e-07,1.54970646881884e-05,TRUE
"g6443",74.6663178311845,1.11634238748563,0.210975673383018,5.29133226397603,1.21428528284531e-07,1.56996212875336e-05,TRUE
"g164",107778.160256575,0.645431620464826,0.122314290472192,5.27682920755336,1.31438281494541e-07,1.67654150220255e-05,TRUE
"g5389",928.169564988746,-2.74231007762287,0.519712200664509,-5.27659361107268,1.31607298296997e-07,1.67654150220255e-05,TRUE
"g11844",130.693181991032,-5.08026867044147,0.967879230687459,-5.24886629381755,1.5303809607801e-07,1.93531752886973e-05,TRUE
"g41038",12.8762731770632,-3.22602077160742,0.617982013304478,-5.22025026967567,1.78681501336953e-07,2.19550142600192e-05,TRUE
"g19862",549.731127180586,3.28902935416772,0.633075805293367,5.19531677986586,2.04371530955232e-07,2.49347660126718e-05,TRUE
"g5161",156.202900264981,1.33157632660496,0.257584479619204,5.16947421899593,2.34753515468924e-07,2.8243782329855e-05,TRUE
"g2940",488.235786260596,-0.842446273664446,0.163116211835857,-5.16469984303089,2.40825058007261e-07,2.86408314476783e-05,TRUE
"g6037",87.717641154598,-1.11715779973138,0.217536690496974,-5.1354913839094,2.81407773143994e-07,3.31659161205421e-05,TRUE
"g10981",185.306359683308,1.09691555221728,0.213733862183836,5.13215613571708,2.86441722601349e-07,3.35311002977593e-05,TRUE
"g48923",1001.29551253948,0.754936250860726,0.147324513159986,5.12430847160452,2.98631732614517e-07,3.47234548157484e-05,TRUE
"g1091",9081.27330939722,0.641089698781654,0.125266207380013,5.11781838207024,3.09090017664602e-07,3.56998970402615e-05,TRUE
"g9742",1491.19545618675,-1.17107000264578,0.229776415097806,-5.09656311831353,3.45875277681024e-07,3.9422955169893e-05,TRUE
"g1382",69.2004636136068,-0.955931711106462,0.187857091774861,-5.0886112527075,3.60695155061547e-07,4.06446832073121e-05,TRUE
"g12257",12.2093911421007,-2.74950690901526,0.54035856702689,-5.08830076321976,3.61286072953886e-07,4.06446832073121e-05,TRUE
"g3428",25.9275668641684,-2.82882556762936,0.557510160459199,-5.07403410423833,3.8946920661076e-07,4.35326064808479e-05,TRUE
"g5767",459.270409882431,-4.14541827952533,0.819427271409494,-5.05892154699075,4.21634279613431e-07,4.65274770337751e-05,TRUE
"g23003",19.6929953196978,-3.10075140031658,0.614073182301443,-5.04948186907542,4.43009979163438e-07,4.85768853734592e-05,TRUE
"g41100",1509.11383089749,0.803192165220322,0.160812879130146,4.99457611582402,5.89651327743681e-07,6.42497437305615e-05,TRUE
"g6531",240.116065804672,0.849164123974731,0.170058607834736,4.99336161095681,5.93373080206127e-07,6.42511788410697e-05,TRUE
"g19974",329.413859469156,3.24073323211375,0.649737323143628,4.98775907844434,6.10836753696876e-07,6.5731346321729e-05,TRUE
"g11859",114.62694379811,-1.08524150421392,0.217825245472572,-4.98216587273661,6.2876499949048e-07,6.72429235566207e-05,TRUE
"g17024",590.579009029831,-1.27332529069963,0.256062305113546,-4.97271666024797,6.60211203492818e-07,7.01727552178716e-05,TRUE
"g18334",54.022233247122,-6.87138849148908,1.38344552494032,-4.96686596444447,6.80435825166991e-07,7.18480210350113e-05,TRUE
"g9642",906.620292218366,-1.38772426676733,0.279457651276836,-4.96577660488752,6.84266867000108e-07,7.18480210350113e-05,TRUE
