gene_id,sample4,sample5,sample6,sample7,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20
g16589,26,23,23,37.634,35.772,57,28,29,81.556,25,28,23
g1659,856.4,741.474,751.295,1042.986,672.205,1061.222,792.067,706.014,2502.515,538.905,501.01,761.732
g16590,26.844,32.725,24.941,39.606,22.561,46.25,37.729,16.873,67.368,27.332,16.332,20.525
g16591,5,9,7,11.721,9.949,10.029,5.995,5.007,17.017,3,10.529,6.054
g16592,1,2,0,0,0,0,8,18.41,0,0,9,4.022
g16593,2,2,3.003,6,3,8.021,3,2,11,1,5.966,3
g16594,0,0,0,0,0,0,5.739,0,0,0,4,0
g16595,6.383,3.791,1.173,5.548,5.074,3.822,5.031,8.881,7.42,1.428,1.159,3.722
g16596,11.442,1.546,16.988,10.546,3.616,5.287,7.256,4.225,22.291,0,6.704,0
g16597,414.851,379.812,568.789,600.598,184.303,287.194,563.076,416.171,1872.546,417.526,378.188,531.389
g16598,2.62,5.06,3.907,6.234,0,0,2.173,7.071,17.026,4.311,0,16.289
g16599,76.583,39.307,60.447,84.784,69.513,130.765,100.892,57.63,197.19,56.501,58.102,64.108
g166,2038.782,1614.253,2286.42,2963.136,2132.959,3918.406,2688.795,2063.07,8235.015,2013.762,1767.605,2409.08
g1660,444.66,295.923,391.104,325.086,320.636,577.5,500.27,323.155,1184.077,244.006,325.257,429.397
g16600,71.502,46.668,46.055,69.139,33.226,97.032,66.175,42.283,249.804,44.775,54.83,66.861
g16601,69.634,51.387,55.679,69.301,48.8,107.8,112.417,64.222,273.782,47.159,57.225,55.207
g16602,4,3,5.86,9,4,10.738,1,12,21.998,7,2,4
g16603,6.022,1,2,10.973,8.084,16.692,5,5.007,13.06,1.335,1.001,11.086
g16604,5,1,3.019,8,3,1,3,9,28.867,3.017,4,5
g16605,4,0,5,9,3,2,3.092,2,17,5,3,6
g16606,0,0,0,0,0,0,0,0,0,0,0,0
g16607,4,1,4,2,1,3,4,1,11,1,2,4
g16608,0,1.6,3,0,2,4,5,2,5.418,6,1,1
g16609,2,1,0,0,0,0,3,10,0,0,8,5
