gene_id,sample1,sample2,sample3,sample4,sample6,sample8,sample9,sample10,sample11,sample12,sample13,sample15,sample17,sample19
g17269,6,2,1,7.999,2,0,4,2,7,5,2,3,8,3
g1727,3532.555,3858.768,5052.651,5542.609,4229.796,4929.741,4615.858,4993.537,3875.096,5219.219,3261.267,4578.753,14305.345,3055.458
g17270,1,2.001,2,6,5,3,5,4,1,4.066,0,3.015,10,2
g17271,3,2,10,3,0,2,3,2,3,2.983,1,4,7,1
g17272,6.969,2,4,3,5.804,2.741,4,2,2,1,5.959,0,9,4
g17273,2,2,3,2,4,3,4,5,5,3,3,2,9,0
g17274,3,3,3,13,1,0,4,5,1,4,3,3,10,1
g17275,4,3,5,2,3,2,6,3,1,3,1,5,10,1
g17276,0,4,1.037,0,4.347,3,4.201,3.264,0,5,0,4,9.52,4
g17277,2.63,2.663,4.042,8.92,2.822,4.23,3.886,2.65,6.929,2.797,4.288,1.257,5.567,0
g17279,89.541,37.606,48.83,22.815,91.622,28.25,48.977,41.009,40.419,71.517,28.347,71.305,123.459,24.766
g1728,4976.391,5050.173,5844.912,6026.889,3932.342,5347.802,5883.411,4846.433,4349.074,5633.277,3582.994,5144.785,14736.004,3219.242
g17280,44.514,31.422,40.298,45.83,43.431,48.833,37.246,45.518,46.865,65.404,22.597,48.796,96.289,37.032
g17281,9.361,4.687,7.571,7.469,2.026,6.928,2.011,2.043,2.678,4.02,9.464,4.62,6.955,0
g17282,6.764,24.585,16.031,7.822,11.542,12.349,19.604,13.481,15.066,15.907,12.667,10.69,12.415,8.779
g17283,14.895,11.864,7.167,3.481,6.786,13.33,7.639,4.52,11.74,12.211,8.307,5.353,26.606,2.044
g17284,5,4.001,9,12,5,15,9.829,8,4,11,8,6,23.657,7
g17285,11.989,12.01,15.193,3.21,10.673,13.727,16.014,12.078,5.8,10.425,5,6,19.051,3.229
g17286,2.436,1.002,6.004,2.698,4.127,7.017,8,1.003,2.07,3.087,3.033,4,9.563,3
g17287,3,3,7,13,1,11,2,0,1,9,3,2,10,7
g17288,3,8.974,7.527,2.101,2,0,2,2.498,9.325,3,2.585,1,10.222,3
g17289,4.31,4.01,2.544,3.228,5,2,0,1.077,1.274,0,0,5.362,6.639,0
g1729,858.775,1043.865,1092.551,735.285,801.307,1122.662,1176.583,842.523,683.91,874.342,700.954,706.075,2290.279,555.677
g17290,4,5,5,5,2,5,4,3,2,3,2,1,15.288,0
g17291,7,1,2,1,4,3,5,3,0,4,4,3,2,1
g17292,2,2,17,1,0,2,6,1,2,2,3,1,10,1
